ESTAB,EMPSZES,NAICS2012,zipcode,year
4,220,72,37216,2014
5,230,72,37216,2014
14,241,72,37216,2014
2,242,72,37216,2014
0,251,72,37216,2014
0,252,72,37216,2014
0,254,72,37216,2014
0,260,72,37216,2014
5,1,71,37217,2014
4,212,71,37217,2014
0,220,71,37217,2014
0,230,71,37217,2014
0,241,71,37217,2014
1,242,71,37217,2014
0,251,71,37217,2014
0,252,71,37217,2014
0,254,71,37217,2014
0,260,71,37217,2014
66,1,72,37217,2014
25,212,72,37217,2014
10,220,72,37217,2014
12,230,72,37217,2014
17,241,72,37217,2014
2,242,72,37217,2014
0,251,72,37217,2014
0,252,72,37217,2014
0,254,72,37217,2014
0,260,72,37217,2014
2,1,71,37218,2014
0,212,71,37218,2014
1,220,71,37218,2014
0,230,71,37218,2014
0,241,71,37218,2014
1,242,71,37218,2014
0,251,71,37218,2014
0,252,71,37218,2014
0,254,71,37218,2014
0,260,71,37218,2014
13,1,72,37218,2014
5,212,72,37218,2014
2,220,72,37218,2014
3,230,72,37218,2014
3,241,72,37218,2014
0,242,72,37218,2014
0,251,72,37218,2014
0,252,72,37218,2014
0,254,72,37218,2014
0,260,72,37218,2014
9,1,71,37219,2014
7,212,71,37219,2014
0,220,71,37219,2014
0,230,71,37219,2014
0,241,71,37219,2014
1,242,71,37219,2014
0,251,71,37219,2014
1,252,71,37219,2014
0,254,71,37219,2014
0,260,71,37219,2014
41,1,72,37219,2014
18,212,72,37219,2014
9,220,72,37219,2014
8,230,72,37219,2014
4,241,72,37219,2014
0,242,72,37219,2014
2,251,72,37219,2014
0,252,72,37219,2014
0,254,72,37219,2014
0,260,72,37219,2014
9,1,71,37220,2014
8,212,71,37220,2014
0,220,71,37220,2014
1,230,71,37220,2014
0,241,71,37220,2014
0,242,71,37220,2014
0,251,71,37220,2014
0,252,71,37220,2014
0,254,71,37220,2014
0,260,71,37220,2014
7,1,72,37220,2014
4,212,72,37220,2014
1,220,72,37220,2014
0,230,72,37220,2014
2,241,72,37220,2014
0,242,72,37220,2014
0,251,72,37220,2014
0,252,72,37220,2014
0,254,72,37220,2014
0,260,72,37220,2014
13,1,71,37221,2014
11,212,71,37221,2014
1,220,71,37221,2014
0,230,71,37221,2014
0,241,71,37221,2014
0,242,71,37221,2014
1,251,71,37221,2014
0,252,71,37221,2014
0,254,71,37221,2014
0,260,71,37221,2014
73,1,72,37221,2014
15,212,72,37221,2014
5,220,72,37221,2014
22,230,72,37221,2014
27,241,72,37221,2014
3,242,72,37221,2014
1,251,72,37221,2014
0,252,72,37221,2014
0,254,72,37221,2014
0,260,72,37221,2014
13,1,71,37201,2015
6,212,71,37201,2015
3,220,71,37201,2015
3,230,71,37201,2015
0,241,71,37201,2015
0,242,71,37201,2015
0,251,71,37201,2015
1,252,71,37201,2015
0,254,71,37201,2015
0,260,71,37201,2015
64,1,72,37201,2015
8,212,72,37201,2015
11,220,72,37201,2015
11,230,72,37201,2015
11,241,72,37201,2015
12,242,72,37201,2015
11,251,72,37201,2015
0,252,72,37201,2015
0,254,72,37201,2015
0,260,72,37201,2015
326,1,71,37203,2015
174,212,71,37203,2015
80,220,71,37203,2015
43,230,71,37203,2015
20,241,71,37203,2015
4,242,71,37203,2015
5,251,71,37203,2015
0,252,71,37203,2015
0,254,71,37203,2015
0,260,71,37203,2015
235,1,72,37203,2015
32,212,72,37203,2015
42,220,72,37203,2015
32,230,72,37203,2015
76,241,72,37203,2015
35,242,72,37203,2015
14,251,72,37203,2015
3,252,72,37203,2015
1,254,72,37203,2015
