grace,chord,rest,note_Id,duration,voice,type,dot,accidental,stem,staff,default-x,default-y,measure_Id
"","","",348,"60","5","quarter","","","down","2","103.23","-90.00",30
"","","",349,"60","5","quarter","","","down","2","103.23","-80.00",30
"","","",350,"60","5","quarter","","","down","2","176.21","-105.00",30
"","","",351,"60","5","quarter","","","down","2","176.21","-90.00",30
"","","",352,"60","5","quarter","","","down","2","176.21","-80.00",30
"","","",353,"30","1","eighth","","sharp","down","1","18.42","-10.00",31
"","","",354,"30","1","eighth","","","down","1","67.97","-5.00",31
"","","",355,"60","1","quarter","","sharp","down","1","117.53","0.00",31
"","","",356,"60","1","quarter","","","down","1","196.82","0.00",31
"","","",357,"60","5","quarter","","","up","2","18.42","-170.00",31
"","","",358,"60","5","quarter","","","down","2","105.67","-105.00",31
"","","",359,"60","5","quarter","","","down","2","117.53","-100.00",31
"","","",360,"60","5","quarter","","sharp","down","2","117.53","-90.00",31
"","","",361,"60","5","quarter","","","down","2","184.96","-105.00",31
"","","",362,"60","5","quarter","","","down","2","196.82","-100.00",31
"","","",363,"60","5","quarter","","","down","2","196.82","-90.00",31
"","","",364,"30","1","eighth","","sharp","down","1","18.42","5.00",32
"","","",365,"30","1","eighth","","","down","1","62.32","10.00",32
"","","",366,"120","1","half","","","down","1","105.85","15.00",32
"","","",367,"60","5","quarter","","","up","2","18.42","-155.00",32
"","","",368,"60","5","quarter","","","down","2","106.22","-120.00",32
"","","",369,"60","5","quarter","","","down","2","106.22","-100.00",32
"","","",370,"60","5","quarter","","natural","down","2","106.22","-90.00",32
"","","",371,"60","5","quarter","","","","2","","",32
"","","",372,"30","1","eighth","","","down","1","51.25","15.00",33
"","","",373,"30","1","eighth","","sharp","down","1","93.58","20.00",33
"","","",374,"30","1","eighth","","","down","1","135.90","25.00",33
"","","",375,"30","1","eighth","","sharp","down","1","178.22","35.00",33
"","","",376,"30","1","eighth","","","down","1","220.55","30.00",33
"","","",377,"30","1","eighth","","","down","1","262.87","25.00",33
"","","",378,"60","5","quarter","","","up","2","51.25","-155.00",33
"","","",379,"60","5","quarter","","","down","2","135.90","-120.00",33
"","","",380,"60","5","quarter","","sharp","down","2","135.90","-110.00",33
"","","",381,"60","5","quarter","","","down","2","135.90","-90.00",33
"","","",382,"60","5","quarter","","","down","2","220.55","-120.00",33
"","","",383,"60","5","quarter","","","down","2","220.55","-110.00",33
"","","",384,"60","5","quarter","","","down","2","220.55","-90.00",33
"","","",385,"30","1","eighth","","sharp","down","1","20.42","20.00",34
"","","",386,"30","1","eighth","","","down","1","61.01","15.00",34
"","","",387,"30","1","eighth","","","down","1","101.60","20.00",34
"","","",388,"30","1","eighth","","sharp","down","1","142.19","5.00",34
"","","",389,"30","1","eighth","","","down","1","182.78","10.00",34
"","","",390,"30","1","eighth","","sharp","down","1","223.37","0.00",34
"","","",391,"60","5","quarter","","","up","2","20.42","-140.00",34
"","","",392,"60","5","quarter","","","down","2","101.60","-120.00",34
"","","",393,"60","5","quarter","","","down","2","101.60","-105.00",34
"","","",394,"60","5","quarter","","sharp","down","2","101.60","-95.00",34
"","","",395,"60","5","quarter","","","down","2","182.78","-120.00",34
"","","",396,"60","5","quarter","","","down","2","182.78","-105.00",34
"","","",397,"60","5","quarter","","","down","2","182.78","-95.00",34
"","","",398,"","1","16th","","","up","1","7.75","-5.00",35
"","","",399,"","1","16th","","sharp","up","1","30.17","0.00",35
"","","",400,"30","1","eighth","","","down","1","41.88","-5.00",35
"","","",401,"30","1","eighth","","","down","1","76.97","-10.00",35
"","","",402,"30","1","eighth","","sharp","down","1","112.05","-30.00",35
"","","",403,"30","1","eighth","","","down","1","147.13","0.00",35
"","","",404,"60","1","quarter","","","down","1","182.21","-5.00",35
"","","",405,"60","5","quarter","","","up","2","41.88","-155.00",35
"","","",406,"60","5","quarter","","","down","2","112.05","-120.00",35
"","","",407,"60","5","quarter","","","down","2","112.05","-100.00",35
"","","",408,"60","5","quarter","","","down","2","112.05","-90.00",35
"","","",409,"60","5","quarter","","","down","2","182.21","-120.00",35
"","","",410,"60","5","quarter","","","down","2","182.21","-100.00",35
"","","",411,"60","5","quarter","","","down","2","182.21","-90.00",35
